Maskapai,Tanggal_Perjalanan,Waktu_Berangkat,Waktu_Tiba,Durasi_Penerbangan,Jumlah_Transit,Informasi_Tambahan,Jarak_Km,Harga_Tiket
Garuda Indonesia,6/06/2019,06:30,20:50,14h 20m,2 stops,In-flight meal not included,1560.6966232595826,1882960
Garuda Indonesia,6/06/2019,22:50,04:25 07 Jun,5h 35m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,24/03/2019,02:55,04:25,1h 30m,non-stop,In-flight meal not included,621.4628500760243,385413
Batik Air,27/04/2019,21:05,23:55,2h 50m,non-stop,No info,1750.1147624132104,972931
Garuda Indonesia,21/03/2019,16:55,11:25 19 Mar,18h 30m,1 stop,In-flight meal not included,1739.8021018961408,1457535
Transit Maskapai,6/06/2019,11:40,21:00,9h 20m,1 stop,No info,2089.2676378593396,1303630
Garuda Indonesia,9/06/2019,18:25,12:35 10 Jun,18h 10m,2 stops,No info,2089.2676378593396,2649506
Citilink,6/04/2019,21:10,00:05 07 Apr,2h 55m,non-stop,No info,1750.1147624132104,739003
Lion Air,21/06/2019,22:10,01:00 22 Jun,2h 50m,non-stop,No info,1750.1147624132104,733792
Lion Air,27/03/2019,06:40,15:30,8h 50m,1 stop,No info,2089.2676378593396,1595621
Batik Air,15/06/2019,05:55,19:15,13h 20m,2 stops,No info,2089.2676378593396,2353421
Garuda Indonesia,21/03/2019,13:00,18:50 22 Mar,29h 50m,2 stops,No info,2089.2676378593396,2434560
Garuda Indonesia,21/05/2019,08:25,08:15 22 May,23h 50m,1 stop,No info,1560.6966232595826,2594420
Super Air Jet,6/04/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,955624
Batik Air,21/05/2019,10:00,20:25,10h 25m,1 stop,No info,1560.6966232595826,2064966
Garuda Indonesia,18/03/2019,22:50,09:30 16 Mar,10h 40m,1 stop,No info,1739.8021018961408,2522586
Sriwijaya Air,12/04/2019,09:45,12:35,2h 50m,non-stop,No info,1750.1147624132104,1005498
Garuda Indonesia,24/06/2019,11:40,19:00,7h 20m,2 stops,In-flight meal not included,2089.2676378593396,2942613
Garuda Indonesia,21/05/2019,20:00,08:15 22 May,12h 15m,1 stop,No info,1560.6966232595826,2750744
Batik Air,6/06/2019,13:30,23:00,9h 30m,1 stop,No info,2089.2676378593396,1657593
Batik Air,3/05/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,771384
Garuda Indonesia,9/06/2019,20:25,09:45 10 Jun,13h 20m,1 stop,No info,1560.6966232595826,2633501
Transit Maskapai,27/03/2019,06:00,15:30,9h 30m,1 stop,No info,2089.2676378593396,1459954
Transit Maskapai,15/05/2019,09:15,19:15,10h,1 stop,No info,2089.2676378593396,1507224
Transit Maskapai,27/05/2019,15:00,01:30 28 May,10h 30m,1 stop,No info,2089.2676378593396,2489460
Batik Air,12/03/2019,06:50,11:20 13 Mar,28h 30m,2 stops,No info,1739.8021018961408,2369797
Garuda Indonesia,3/06/2019,22:50,04:25 04 Jun,5h 35m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,15/05/2019,18:55,22:00,3h 5m,non-stop,No info,1750.1147624132104,1345317
Sriwijaya Air,6/03/2019,08:45,09:25 07 Mar,24h 40m,1 stop,No info,621.4628500760243,2306710
Garuda Indonesia,24/03/2019,19:45,09:15 25 Mar,13h 30m,1 stop,In-flight meal not included,1560.6966232595826,2072037
Garuda Indonesia,21/03/2019,13:00,18:50,5h 50m,1 stop,In-flight meal not included,2089.2676378593396,1217094
Transit Maskapai,6/06/2019,06:40,19:15,12h 35m,1 stop,No info,2089.2676378593396,1368579
Batik Air,24/06/2019,12:00,07:40 25 Jun,19h 40m,2 stops,No info,2089.2676378593396,1776883
Sriwijaya Air,1/05/2019,07:10,10:45 02 May,27h 35m,1 stop,No info,1560.6966232595826,1709701
Lion Air,9/05/2019,07:35,12:10,4h 35m,1 stop,No info,2089.2676378593396,940549
Batik Air,9/06/2019,10:00,20:25,10h 25m,1 stop,No info,1560.6966232595826,1937859
Lion Air,27/05/2019,21:25,00:05 28 May,2h 40m,non-stop,No info,1560.6966232595826,894024
Lion Air,15/06/2019,06:25,07:55,1h 30m,non-stop,No info,621.4628500760243,753519
Transit Maskapai,27/06/2019,19:00,01:30 28 Jun,6h 30m,1 stop,No info,2089.2676378593396,1264550
Batik Air,21/03/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,825354
Garuda Indonesia,12/06/2019,16:30,04:40 13 Jun,12h 10m,1 stop,In-flight meal not included,1560.6966232595826,1158286
Lion Air,12/06/2019,20:20,22:55,2h 35m,non-stop,No info,1560.6966232595826,894024
Lion Air,15/04/2019,05:05,16:10,11h 5m,1 stop,No info,2089.2676378593396,1148423
Lion Air,3/06/2019,11:25,21:00,9h 35m,1 stop,No info,2089.2676378593396,1133907
Lion Air,12/04/2019,17:15,19:50,2h 35m,non-stop,No info,1560.6966232595826,776781
Lion Air,6/05/2019,02:35,04:05,1h 30m,non-stop,No info,621.4628500760243,621946
Transit Maskapai,3/06/2019,10:00,21:00,11h,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,21/05/2019,21:50,04:25 22 May,6h 35m,1 stop,No info,2089.2676378593396,2992302
Lion Air,18/04/2019,05:35,08:50,3h 15m,non-stop,No info,2089.2676378593396,1119392
Garuda Indonesia,24/05/2019,17:00,19:10 25 May,26h 10m,1 stop,No info,1560.6966232595826,2431769
Transit Maskapai,15/05/2019,04:55,12:35,7h 40m,1 stop,No info,2089.2676378593396,1694068
Garuda Indonesia,24/05/2019,20:25,23:35 25 May,27h 10m,1 stop,No info,1560.6966232595826,2633501
Garuda Indonesia,27/03/2019,06:20,18:50,12h 30m,2 stops,No info,2089.2676378593396,2147222
Lion Air,9/03/2019,08:35,21:20,12h 45m,2 stops,No info,2089.2676378593396,1515971
Batik Air,6/05/2019,19:00,04:40 07 May,9h 40m,1 stop,No info,1560.6966232595826,1138374
Garuda Indonesia,3/03/2019,02:15,04:25 04 Mar,26h 10m,1 stop,No info,2089.2676378593396,3168166
Garuda Indonesia,01/03/2019,14:05,07:40 02 Mar,17h 35m,1 stop,1 Long layover,1739.8021018961408,4144447
Garuda Indonesia,9/06/2019,20:25,21:05 10 Jun,24h 40m,1 stop,No info,1560.6966232595826,2361981
Sriwijaya Air,12/06/2019,07:10,20:20,13h 10m,1 stop,No info,1560.6966232595826,1602321
Transit Maskapai,24/06/2019,07:10,22:30,15h 20m,1 stop,No info,2089.2676378593396,1251150
Sriwijaya Air,12/05/2019,17:00,19:35,2h 35m,non-stop,No info,1750.1147624132104,907796
Garuda Indonesia,06/03/2019,20:35,07:40 07 Mar,11h 5m,1 stop,No info,1739.8021018961408,3114570
Garuda Indonesia,24/03/2019,13:55,09:15 25 Mar,19h 20m,1 stop,In-flight meal not included,1560.6966232595826,2072037
Lion Air,3/05/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,733792
Transit Maskapai,12/06/2019,09:00,21:00,12h,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,6/03/2019,05:25,04:25 07 Mar,23h,2 stops,No info,2089.2676378593396,3147695
Citilink,18/05/2019,22:45,00:15 19 May,1h 30m,non-stop,No check-in baggage included,621.4628500760243,365686
Transit Maskapai,9/05/2019,13:00,21:00,8h,1 stop,No info,2089.2676378593396,1502385
Lion Air,3/06/2019,13:00,15:50,2h 50m,non-stop,No info,1750.1147624132104,733792
Lion Air,12/05/2019,15:15,20:05,4h 50m,1 stop,No info,1560.6966232595826,962137
Super Air Jet,15/05/2019,11:40,14:30,2h 50m,non-stop,No info,1750.1147624132104,632368
AirAsia Indonesia,18/04/2019,10:20,12:55,2h 35m,non-stop,No info,1560.6966232595826,820515
Garuda Indonesia,21/06/2019,17:45,20:45,3h,non-stop,No info,1750.1147624132104,1589480
Lion Air,21/03/2019,04:00,06:50,2h 50m,non-stop,No info,1739.8021018961408,889000
Citilink,18/03/2019,22:20,00:40 19 Mar,2h 20m,non-stop,No info,1560.6966232595826,715927
Garuda Indonesia,1/04/2019,18:55,12:00 02 Apr,17h 5m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Sriwijaya Air,27/05/2019,21:00,23:50,2h 50m,non-stop,No info,1750.1147624132104,868715
Citilink,18/03/2019,22:45,00:10 19 Mar,1h 25m,non-stop,No check-in baggage included,621.4628500760243,365686
Garuda Indonesia,21/05/2019,06:30,16:20,9h 50m,1 stop,No info,1560.6966232595826,2750744
Lion Air,15/06/2019,09:10,10:40,1h 30m,non-stop,No info,621.4628500760243,753519
Garuda Indonesia,18/05/2019,18:55,08:15 19 May,13h 20m,1 stop,No info,1560.6966232595826,2527982
Garuda Indonesia,18/05/2019,20:55,12:35 19 May,15h 40m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Garuda Indonesia,27/05/2019,16:00,19:00 28 May,27h,1 stop,No info,2089.2676378593396,2992302
Garuda Indonesia,24/05/2019,08:20,11:20,3h,non-stop,No info,1750.1147624132104,1345317
Garuda Indonesia,06/03/2019,21:25,21:20 07 Mar,23h 55m,1 stop,No info,1739.8021018961408,3251353
Garuda Indonesia,12/05/2019,06:30,16:20,9h 50m,1 stop,No info,1560.6966232595826,2750744
Garuda Indonesia,9/06/2019,06:30,19:50,13h 20m,1 stop,No info,1560.6966232595826,2711663
Transit Maskapai,18/05/2019,03:50,12:35,8h 45m,1 stop,No info,2089.2676378593396,1897662
Citilink,1/06/2019,17:55,22:50,4h 55m,1 stop,No info,2089.2676378593396,1111948
Transit Maskapai,9/04/2019,17:45,01:30 10 Apr,7h 45m,1 stop,No info,2089.2676378593396,1588364
Transit Maskapai,27/03/2019,09:55,21:00,11h 5m,1 stop,No info,2089.2676378593396,2333136
Batik Air,24/05/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,771384
Lion Air,15/03/2019,09:10,10:40,1h 30m,non-stop,No info,621.4628500760243,753519
AirAsia Indonesia,9/05/2019,22:40,10:40 10 May,12h,1 stop,No info,1560.6966232595826,966231
Batik Air,9/05/2019,21:05,23:55,2h 50m,non-stop,No info,1750.1147624132104,1139118
Batik Air,24/06/2019,03:50,19:15,15h 25m,1 stop,No info,2089.2676378593396,1613301
Transit Maskapai,18/05/2019,06:00,19:15,13h 15m,1 stop,No info,2089.2676378593396,1577384
Citilink,21/06/2019,05:45,07:15,1h 30m,non-stop,No check-in baggage included,621.4628500760243,492607
Garuda Indonesia,6/06/2019,20:55,19:00 07 Jun,22h 5m,1 stop,No info,2089.2676378593396,2738275
Batik Air,6/03/2019,20:30,08:15 07 Mar,11h 45m,1 stop,No info,2089.2676378593396,1966333
Garuda Indonesia,15/06/2019,11:30,19:00,7h 30m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Transit Maskapai,21/03/2019,10:00,01:35 22 Mar,15h 35m,1 stop,No info,2089.2676378593396,1507038
Transit Maskapai,27/03/2019,10:00,21:00,11h,1 stop,No info,2089.2676378593396,1280926
Transit Maskapai,15/06/2019,10:00,19:15,9h 15m,1 stop,No info,2089.2676378593396,2997699
Citilink,18/03/2019,17:15,19:45,2h 30m,non-stop,No check-in baggage included,1560.6966232595826,821259
Garuda Indonesia,1/06/2019,14:35,12:35 02 Jun,22h,2 stops,In-flight meal not included,2089.2676378593396,2032026
Lion Air,9/05/2019,21:25,00:05 10 May,2h 40m,non-stop,No info,1560.6966232595826,894024
Garuda Indonesia,6/06/2019,20:25,10:55 07 Jun,14h 30m,1 stop,In-flight meal not included,1560.6966232595826,1961308
Lion Air,09/03/2019,22:20,01:10 13 Mar,2h 50m,non-stop,No info,1739.8021018961408,814560
Batik Air,6/06/2019,06:10,08:55,2h 45m,non-stop,No info,1750.1147624132104,1295442
Transit Maskapai,27/05/2019,13:00,21:00,8h,1 stop,No info,2089.2676378593396,1378629
Lion Air,9/05/2019,18:55,21:50,2h 55m,non-stop,No info,1750.1147624132104,897560
Lion Air,21/03/2019,14:20,16:55,2h 35m,non-stop,No info,1560.6966232595826,967348
Garuda Indonesia,1/06/2019,17:30,19:00 02 Jun,25h 30m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Sriwijaya Air,27/04/2019,17:00,19:35,2h 35m,non-stop,No info,1750.1147624132104,1044579
Garuda Indonesia,12/06/2019,20:55,04:25 13 Jun,7h 30m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Lion Air,3/05/2019,09:10,10:40,1h 30m,non-stop,No info,621.4628500760243,1071006
Sriwijaya Air,21/05/2019,07:05,09:20,2h 15m,non-stop,No info,1358.3607154263375,686151
Garuda Indonesia,3/06/2019,19:35,21:05,1h 30m,non-stop,No info,621.4628500760243,1056676
Transit Maskapai,21/03/2019,18:15,01:35 22 Mar,7h 20m,1 stop,No info,2089.2676378593396,2520166
Garuda Indonesia,21/03/2019,19:15,18:50 22 Mar,23h 35m,1 stop,No info,2089.2676378593396,2297777
Garuda Indonesia,21/05/2019,09:35,19:10,9h 35m,1 stop,In-flight meal not included,1560.6966232595826,2304662
Garuda Indonesia,9/04/2019,05:30,04:25 10 Apr,22h 55m,2 stops,No info,2089.2676378593396,2030165
Lion Air,3/06/2019,16:55,19:55,3h,non-stop,No info,1750.1147624132104,897560
Lion Air,12/06/2019,16:00,21:00,5h,1 stop,No info,2089.2676378593396,1129441
Garuda Indonesia,21/05/2019,16:00,19:00 22 May,27h,1 stop,In-flight meal not included,2089.2676378593396,2400318
Lion Air,15/06/2019,04:40,07:15,2h 35m,non-stop,No info,1560.6966232595826,894024
Garuda Indonesia,24/03/2019,08:25,04:45 25 Mar,20h 20m,1 stop,In-flight meal not included,1560.6966232595826,1866769
Lion Air,9/06/2019,07:35,22:30,14h 55m,1 stop,No info,2089.2676378593396,1198856
Batik Air,21/05/2019,12:00,07:40 22 May,19h 40m,2 stops,No info,2089.2676378593396,1796423
Sriwijaya Air,9/06/2019,17:00,20:20 10 Jun,27h 20m,1 stop,No info,1560.6966232595826,1602321
Garuda Indonesia,12/06/2019,14:00,19:00,5h,1 stop,No info,2089.2676378593396,2738275
Batik Air,01/03/2019,00:30,23:55,23h 25m,1 stop,1 Long layover,1739.8021018961408,2344674
Transit Maskapai,9/05/2019,04:55,19:00,14h 5m,1 stop,No info,2089.2676378593396,1694068
Garuda Indonesia,21/05/2019,22:50,04:25 22 May,5h 35m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Citilink,6/06/2019,05:45,07:15,1h 30m,non-stop,No check-in baggage included,621.4628500760243,492607
Garuda Indonesia,3/03/2019,07:10,08:35,1h 25m,non-stop,No info,621.4628500760243,1056676
Garuda Indonesia,18/05/2019,19:15,12:35 19 May,17h 20m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Citilink,27/03/2019,17:15,19:45,2h 30m,non-stop,No info,1560.6966232595826,715927
Garuda Indonesia,21/05/2019,17:00,18:00 22 May,25h,1 stop,No info,1560.6966232595826,2633501
Garuda Indonesia,6/03/2019,08:00,04:25 07 Mar,20h 25m,1 stop,In-flight meal not included,2089.2676378593396,2576182
Garuda Indonesia,18/05/2019,15:15,18:10,2h 55m,non-stop,No info,1750.1147624132104,1345317
Garuda Indonesia,18/06/2019,02:55,04:20,1h 25m,non-stop,In-flight meal not included,621.4628500760243,929570
Garuda Indonesia,6/06/2019,20:55,04:25 07 Jun,7h 30m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,9/05/2019,05:30,04:25 10 May,22h 55m,2 stops,In-flight meal not included,2089.2676378593396,2424697
Garuda Indonesia,9/03/2019,19:15,04:25 10 Mar,9h 10m,1 stop,In-flight meal not included,2089.2676378593396,2615263
Garuda Indonesia,01/03/2019,16:55,07:40 02 Mar,14h 45m,1 stop,1 Long layover,1739.8021018961408,5004229
Citilink,1/04/2019,17:10,19:40,2h 30m,non-stop,No check-in baggage included,1560.6966232595826,714810
Batik Air,01/03/2019,10:30,22:55,12h 25m,1 stop,No info,1739.8021018961408,2047658
Sriwijaya Air,9/04/2019,11:30,14:20,2h 50m,non-stop,No info,1750.1147624132104,1005498
Transit Maskapai,3/03/2019,08:00,18:50,10h 50m,1 stop,No info,2089.2676378593396,2855146
Batik Air,12/06/2019,20:30,13:45 13 Jun,17h 15m,2 stops,No info,1560.6966232595826,2274886
Lion Air,15/03/2019,19:35,21:55,2h 20m,non-stop,No info,1358.3607154263375,1171872
Citilink,1/05/2019,15:55,21:25,5h 30m,1 stop,No info,1560.6966232595826,1645868
Transit Maskapai,1/06/2019,14:00,01:30 02 Jun,11h 30m,1 stop,No info,2089.2676378593396,2489460
Super Air Jet,09/03/2019,20:55,23:50,2h 55m,non-stop,No info,1739.8021018961408,1061887
Batik Air,12/06/2019,21:00,07:40 13 Jun,10h 40m,1 stop,No info,2089.2676378593396,1558029
Lion Air,27/05/2019,06:40,21:00,14h 20m,1 stop,No info,2089.2676378593396,1214489
Lion Air,1/06/2019,16:55,19:45,2h 50m,non-stop,No info,1750.1147624132104,897560
Lion Air,24/06/2019,16:55,18:25,1h 30m,non-stop,No info,621.4628500760243,590868
Transit Maskapai,6/05/2019,09:00,19:00,10h,1 stop,No info,2089.2676378593396,1936743
Lion Air,18/04/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,823120
Sriwijaya Air,9/05/2019,17:00,20:20 10 May,27h 20m,1 stop,No info,1560.6966232595826,1778186
Garuda Indonesia,1/04/2019,16:30,16:20 02 Apr,23h 50m,1 stop,No info,1560.6966232595826,2359934
Garuda Indonesia,6/06/2019,14:05,04:40 07 Jun,14h 35m,1 stop,No info,1560.6966232595826,2430280
Garuda Indonesia,9/05/2019,16:30,10:05 10 May,17h 35m,1 stop,In-flight meal not included,1560.6966232595826,1597855
Super Air Jet,6/04/2019,20:55,23:40,2h 45m,non-stop,No info,1750.1147624132104,636276
Citilink,3/06/2019,17:10,19:40,2h 30m,non-stop,No info,1560.6966232595826,720765
Batik Air,6/06/2019,10:00,20:25,10h 25m,1 stop,No info,1560.6966232595826,1898778
Garuda Indonesia,27/05/2019,19:30,04:25 28 May,8h 55m,2 stops,In-flight meal not included,2089.2676378593396,2424697
Garuda Indonesia,15/05/2019,16:30,22:35,6h 5m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,24/03/2019,18:55,08:10 25 Mar,13h 15m,1 stop,In-flight meal not included,1560.6966232595826,2072037
Sriwijaya Air,12/06/2019,20:20,18:50 13 Jun,22h 30m,1 stop,No info,1560.6966232595826,1602321
Lion Air,15/04/2019,20:20,22:55,2h 35m,non-stop,No info,1560.6966232595826,776781
Garuda Indonesia,09/03/2019,08:00,09:30 13 Mar,25h 30m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Citilink,18/06/2019,21:10,00:05 19 Jun,2h 55m,non-stop,No info,1750.1147624132104,739003
Garuda Indonesia,9/04/2019,07:05,19:00,11h 55m,1 stop,No info,2089.2676378593396,3262519
Citilink,6/06/2019,05:55,08:35,2h 40m,non-stop,No check-in baggage included,1750.1147624132104,664935
Batik Air,1/05/2019,09:25,07:55 02 May,22h 30m,1 stop,No info,1560.6966232595826,1556913
Batik Air,3/03/2019,14:15,16:45,2h 30m,non-stop,No info,1560.6966232595826,2583998
Transit Maskapai,9/06/2019,17:50,01:30 10 Jun,7h 40m,2 stops,No info,2089.2676378593396,3440058
AirAsia Indonesia,27/04/2019,19:55,22:25,2h 30m,non-stop,No info,1560.6966232595826,820515
Sriwijaya Air,1/05/2019,20:20,23:25 02 May,27h 5m,1 stop,No info,1560.6966232595826,1504618
Transit Maskapai,6/06/2019,17:30,01:30 07 Jun,8h,1 stop,No info,2089.2676378593396,2489460
Batik Air,21/05/2019,13:20,07:40 22 May,18h 20m,2 stops,No info,2089.2676378593396,2519422
Transit Maskapai,6/03/2019,19:00,01:35 07 Mar,6h 35m,1 stop,No info,2089.2676378593396,2818857
Garuda Indonesia,27/05/2019,11:10,14:05,2h 55m,non-stop,In-flight meal not included,1750.1147624132104,749983
Transit Maskapai,6/06/2019,08:00,19:15,11h 15m,1 stop,No info,2089.2676378593396,2763213
Garuda Indonesia,18/03/2019,22:50,08:15 16 Mar,9h 25m,1 stop,No info,1739.8021018961408,2522586
Batik Air,18/05/2019,07:05,09:25 19 May,26h 20m,2 stops,No info,2089.2676378593396,2042448
Garuda Indonesia,21/05/2019,09:40,12:35 22 May,26h 55m,2 stops,In-flight meal not included,2089.2676378593396,2424697
Garuda Indonesia,12/05/2019,08:25,09:20 13 May,24h 55m,1 stop,In-flight meal not included,1560.6966232595826,1798284
Garuda Indonesia,1/06/2019,10:20,11:50,1h 30m,non-stop,In-flight meal not included,621.4628500760243,753705
Garuda Indonesia,3/06/2019,17:30,04:25 04 Jun,10h 55m,1 stop,No info,2089.2676378593396,2738275
Batik Air,01/03/2019,10:30,21:25,10h 55m,2 stops,No info,1739.8021018961408,2086739
Garuda Indonesia,9/04/2019,06:00,08:45,2h 45m,non-stop,In-flight meal not included,1750.1147624132104,845638
Citilink,15/06/2019,09:00,11:25,2h 25m,non-stop,No info,1560.6966232595826,720765
Transit Maskapai,9/04/2019,13:00,21:00,8h,1 stop,No info,2089.2676378593396,2333136
Garuda Indonesia,6/05/2019,09:35,19:10,9h 35m,1 stop,No info,1560.6966232595826,2431769
Garuda Indonesia,9/05/2019,23:05,04:25 11 May,29h 20m,2 stops,No info,2089.2676378593396,3108614
Batik Air,15/03/2019,06:45,12:15,5h 30m,1 stop,No info,1739.8021018961408,1621675
Garuda Indonesia,3/06/2019,14:35,12:35 04 Jun,22h,2 stops,No info,2089.2676378593396,2489274
Citilink,27/06/2019,08:20,10:35,2h 15m,non-stop,No info,1358.3607154263375,669402
Transit Maskapai,18/05/2019,12:50,01:30 19 May,12h 40m,1 stop,No info,2089.2676378593396,1427387
Batik Air,24/03/2019,09:50,23:15 25 Mar,37h 25m,2 stops,No info,1560.6966232595826,2681701
Batik Air,15/05/2019,09:45,09:25 16 May,23h 40m,1 stop,No info,2089.2676378593396,1392028
Garuda Indonesia,9/05/2019,20:00,18:15 10 May,22h 15m,1 stop,No info,1560.6966232595826,2527982
Garuda Indonesia,01/03/2019,16:55,10:25 02 Mar,17h 30m,1 stop,1 Long layover,1739.8021018961408,4789284
Garuda Indonesia,1/04/2019,17:45,20:45,3h,non-stop,In-flight meal not included,1750.1147624132104,845638
Transit Maskapai,21/05/2019,09:15,19:15,10h,1 stop,No info,2089.2676378593396,1507224
Garuda Indonesia,15/05/2019,16:30,04:40 16 May,12h 10m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,21/03/2019,19:15,04:25 22 Mar,9h 10m,1 stop,No info,2089.2676378593396,2336858
Garuda Indonesia,9/05/2019,11:00,14:15,3h 15m,non-stop,No info,2089.2676378593396,1779860
Garuda Indonesia,12/03/2019,21:25,09:30 13 Mar,12h 5m,1 stop,No info,1739.8021018961408,2571344
Garuda Indonesia,18/05/2019,09:35,19:10,9h 35m,1 stop,In-flight meal not included,1560.6966232595826,2304662
Transit Maskapai,21/05/2019,04:55,19:15,14h 20m,1 stop,No info,2089.2676378593396,1409708
Batik Air,6/05/2019,16:45,12:00 07 May,19h 15m,2 stops,No info,1560.6966232595826,2627732
Transit Maskapai,9/03/2019,07:05,22:20,15h 15m,1 stop,No info,2089.2676378593396,1287068
Transit Maskapai,27/05/2019,07:10,22:30,15h 20m,1 stop,No info,2089.2676378593396,1466096
Garuda Indonesia,18/03/2019,22:50,20:20 16 Mar,21h 30m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Lion Air,27/04/2019,14:25,16:55,2h 30m,non-stop,No info,1560.6966232595826,894024
Citilink,15/06/2019,09:45,12:00,2h 15m,non-stop,No info,1358.3607154263375,669402
Batik Air,15/05/2019,05:50,16:15 16 May,34h 25m,2 stops,No info,1560.6966232595826,2367750
Lion Air,15/05/2019,20:05,21:40,1h 35m,non-stop,No info,621.4628500760243,414445
Batik Air,24/05/2019,07:00,19:15,12h 15m,1 stop,No info,2089.2676378593396,1847787
Garuda Indonesia,9/06/2019,21:10,09:20 10 Jun,12h 10m,1 stop,In-flight meal not included,1560.6966232595826,2203610
Garuda Indonesia,9/05/2019,11:30,04:25 10 May,16h 55m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Garuda Indonesia,21/05/2019,20:55,19:00 22 May,22h 5m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Batik Air,3/03/2019,05:55,07:40 04 Mar,25h 45m,2 stops,No info,2089.2676378593396,2812529
Transit Maskapai,18/05/2019,11:40,19:00,7h 20m,1 stop,No info,2089.2676378593396,1959447
Batik Air,27/03/2019,13:05,07:40 28 Mar,18h 35m,2 stops,No info,2089.2676378593396,1651638
Garuda Indonesia,15/05/2019,08:25,20:45,12h 20m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Batik Air,01/03/2019,06:10,08:55,2h 45m,non-stop,No info,1739.8021018961408,2917304
Garuda Indonesia,1/04/2019,08:25,23:35,15h 10m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Garuda Indonesia,9/06/2019,08:25,19:50,11h 25m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,6/03/2019,14:00,16:50 07 Mar,26h 50m,1 stop,No info,621.4628500760243,3646630
Garuda Indonesia,1/05/2019,14:05,08:15 02 May,18h 10m,1 stop,No info,1560.6966232595826,2594420
Lion Air,21/03/2019,08:35,16:10,7h 35m,1 stop,No info,2089.2676378593396,1263619
Citilink,27/04/2019,09:00,11:25,2h 25m,non-stop,No check-in baggage included,1560.6966232595826,714810
Garuda Indonesia,18/03/2019,11:40,09:00 16 Mar,21h 20m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Batik Air,15/05/2019,19:45,19:15 16 May,23h 30m,2 stops,No info,2089.2676378593396,2138475
Lion Air,9/04/2019,05:30,08:20,2h 50m,non-stop,No info,1750.1147624132104,733792
Garuda Indonesia,01/03/2019,11:40,07:40 02 Mar,20h,1 stop,No info,1739.8021018961408,4144447
Sriwijaya Air,9/06/2019,17:00,19:35,2h 35m,non-stop,No info,1750.1147624132104,907796
Garuda Indonesia,9/06/2019,22:50,04:25 10 Jun,5h 35m,1 stop,No info,2089.2676378593396,2738275
Transit Maskapai,24/06/2019,06:40,19:00,12h 20m,1 stop,No info,2089.2676378593396,2024210
Batik Air,15/06/2019,19:45,19:15 16 Jun,23h 30m,2 stops,No info,2089.2676378593396,1796423
Garuda Indonesia,24/05/2019,20:00,12:00 25 May,16h,1 stop,No info,1560.6966232595826,2711663
Garuda Indonesia,1/04/2019,18:55,20:45 02 Apr,25h 50m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Lion Air,6/03/2019,15:20,17:55,2h 35m,non-stop,No info,1560.6966232595826,1045510
Transit Maskapai,15/05/2019,14:00,01:30 16 May,11h 30m,1 stop,No info,2089.2676378593396,2554595
Sriwijaya Air,1/04/2019,14:40,17:50,3h 10m,non-stop,No info,2089.2676378593396,902771
Batik Air,24/03/2019,09:10,21:50,12h 40m,2 stops,No info,1560.6966232595826,2826301
Super Air Jet,15/05/2019,07:45,10:40,2h 55m,non-stop,No info,1750.1147624132104,636276
Lion Air,1/04/2019,06:05,08:50,2h 45m,non-stop,No info,1750.1147624132104,733792
Garuda Indonesia,18/05/2019,09:40,12:35 19 May,26h 55m,2 stops,No info,2089.2676378593396,2815507
Lion Air,21/06/2019,00:25,03:15,2h 50m,non-stop,No info,1750.1147624132104,636276
Batik Air,21/05/2019,20:00,19:15 22 May,23h 15m,2 stops,No info,2089.2676378593396,2021232
Lion Air,21/04/2019,05:10,10:05,4h 55m,1 stop,No info,2089.2676378593396,1316471
Batik Air,6/05/2019,09:25,15:05 07 May,29h 40m,2 stops,No info,1560.6966232595826,2147966
